AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Neoantigen_num,numberOfBindingExpressedPMHC
13,105,0.7427262969253221,0.47189158924999997,1.4233924138499998,339.0,0.9133505686973608,11,0.84,5.0,63.0
10,17,0.053934906721881296,0.47189158924999997,1.4233924138499998,173.0,0.2759470809297642,0,0.93,5.0,63.0
39,40,0.8676100304927888,0.47189158924999997,1.4233924138499998,129.0,0.17369836515910278,6,0.85,5.0,63.0
27,12,0.090956901326517,0.47189158924999997,1.4233924138499998,137.0,0.6161616560394942,8,0.8,5.0,63.0
10,11,0.06503560282217248,0.47189158924999997,1.4233924138499998,171.0,0.18418755459389533,4,0.68,5.0,63.0
8,14,0.06350303316864146,0.47189158924999997,1.4233924138499998,226.0,0.15866746851063004,4,0.75,5.0,63.0
4,19,0.08519452100152927,0.47189158924999997,1.4233924138499998,176.0,0.14034933824629514,7,0.9,5.0,63.0
4,46,0.16758501703651535,0.47189158924999997,1.4233924138499998,182.0,0.19068829387467587,19,0.46,5.0,63.0
6,8,0.11903627993796018,0.47189158924999997,1.4233924138499998,88.0,0.3746828255912312,2,0.81,5.0,63.0
9,19,0.20082699578740398,0.47189158924999997,1.4233924138499998,119.0,0.4579982875019186,6,0.49,5.0,63.0
3,8,0.04525019206415104,0.47189158924999997,1.4233924138499998,112.0,0.07087609282283906,0,0.52,5.0,63.0
10,15,0.26049220230649683,0.47189158924999997,1.4233924138499998,132.0,0.6572431359971079,7,0.6,5.0,63.0
10,2,0.004707038648860527,0.47189158924999997,1.4233924138499998,68.0,0.3269923088195772,5,0.88,5.0,63.0
7,50,0.148696013313541,0.47189158924999997,1.4233924138499998,282.0,0.22208818722097606,10,0.93,5.0,63.0
6,9,0.07701976836255534,0.47189158924999997,1.4233924138499998,241.0,0.13829469278536174,2,0.51,5.0,63.0
0,4,0.004840529981264912,0.47189158924999997,1.4233924138499998,235.0,0.021885615746620225,2,0.35,5.0,63.0
5,10,0.1243418839040724,0.47189158924999997,1.4233924138499998,103.0,0.61146610154668,10,0.95,5.0,63.0
4,31,0.12610064622020642,0.47189158924999997,1.4233924138499998,180.0,0.14443329018682335,8,0.82,5.0,63.0
7,14,0.11677439890715335,0.47189158924999997,1.4233924138499998,108.0,0.1884606794857155,10,0.88,5.0,63.0
3,8,0.08479762897704933,0.47189158924999997,1.4233924138499998,83.0,0.43312934564018396,18,0.88,5.0,63.0
5,17,0.0990499650195921,0.47189158924999997,1.4233924138499998,185.0,0.1624318871862623,2,0.88,5.0,63.0
5,22,0.1079063921873426,0.47189158924999997,1.4233924138499998,203.0,0.20088346952513805,7,0.66,5.0,63.0
5,36,0.09480917592346604,0.47189158924999997,1.4233924138499998,298.0,0.21883345226603404,9,0.66,5.0,63.0
10,7,0.17410282709009398,0.47189158924999997,1.4233924138499998,67.0,0.4590357931835942,2,0.45,5.0,63.0
11,42,0.18196246368885893,0.7600179717000001,2.5840611037,239.0,0.7864778904702362,20,0.96,5.0,63.0
5,13,0.1344709449980406,0.45406586039999997,1.3054393486,104.0,0.11403546354028915,12,0.53,5.0,63.0
4,33,0.17522086570717835,0.39334968189999997,1.0395670164,213.0,0.32023162092586804,22,0.73,4.0,49.0
8,7,0.05011737032134532,0.5091478596,1.3577276256,215.0,0.188346360576873,3,0.87,2.0,32.0
8,24,0.15724077214240553,0.39490229649999997,1.5514018792,192.0,0.2393644268990225,9,0.72,0.0,28.0
7,52,0.3550889866082236,1.0894985922,3.8452891491,271.0,0.8913239842886681,47,0.88,5.0,167.0
